000	056	059	012	049	096	025	040	124	101	067	003
056	000	062	077	069	077	022	038	096	090	036	054
059	062	000	103	021	034	059	077	051	014	043	034
012	077	103	000	069	019	057	023	052	010	064	034
049	069	021	069	000	014	090	092	127	115	101	091
096	077	034	019	014	000	016	075	080	082	082	064
025	022	059	057	090	016	000	057	115	024	045	103
040	038	077	023	092	075	057	000	089	056	003	016
124	096	051	052	127	080	115	089	000	060	018	095
101	090	014	010	115	082	024	056	060	000	067	107
067	036	043	064	101	082	045	003	018	067	000	044
003	054	034	034	091	064	103	016	095	107	044	000
